"motion" "time" "V1" "V2" "RT" "Correct" "Onset" "Offset" "UK1" "UK2" "UK3" "run" "day" "direction" "response" "RToffset"
0.075 0.293 0 0 0.63155 1 26.267 26.584 26.946 0.31623 0.36239 4 "004.txt" "left" "left" 0.31532
0.111 0.25 0 0 0.60397 1 30.616 30.899 31.264 0.28284 0.36529 4 "004.txt" "left" "left" 0.32113
0.681 2.24 180 180 2.6067 1 34.831 37.097 37.458 2.2656 0.36142 4 "004.txt" "right" "right" 0.3411
0.247 0.516 180 180 0.85322 1 42.879 43.428 43.795 0.54942 0.36653 4 "004.txt" "right" "right" 0.3038
1 0.805 0 0 1.0949 1 47.244 48.077 48.436 0.83261 0.35954 4 "004.txt" "left" "left" 0.26229
0.111 2.24 180 180 2.6283 NA 57.991 60.256 60.615 2.2655 0.35878 4 "004.txt" "right" "right" 0.3628
0.096 1.34 180 180 1.6905 1 65.472 66.837 67.199 1.3659 0.36154 4 "004.txt" "right" "right" 0.3246
1 0.453 180 180 0.79101 1 70.62 71.103 71.465 0.48272 0.36193 4 "004.txt" "right" "right" 0.30829
0.096 1.83 0 0 2.1546 1 76.551 78.4 78.761 1.849 0.36052 4 "004.txt" "left" "left" 0.3056
0.111 0.964 180 180 1.289 1 91.53 92.513 92.872 0.9826 0.35986 4 "004.txt" "right" "right" 0.3064
0.062 1.56 0 0 1.8896 1 97.511 99.094 99.454 1.5824 0.36062 4 "004.txt" "left" "left" 0.3072
0.837 0.805 180 180 1.1321 1 106.44 107.27 107.64 0.83266 0.36127 4 "004.txt" "right" "right" 0.29944
0.173 0.759 180 180 1.0962 1 111.27 112.06 112.42 0.78266 0.35955 4 "004.txt" "right" "right" 0.31354
0.056 0.854 180 0 1.1985 0 118.47 119.35 119.72 0.88265 0.36116 4 "004.txt" "right" "left" 0.31585
0.062 2.02 180 0 2.386 0 124 126.05 126.42 2.049 0.36479 4 "004.txt" "right" "left" 0.337
0.131 1.44 180 NA NA NA 132.48 133.95 134.31 1.4659 0.36063 4 "004.txt" "right" NA NA
0.033 0.71 180 180 1.0488 1 139.63 140.36 140.73 0.73275 0.36103 4 "004.txt" "right" "right" 0.31605
0.76 0.453 0 0 0.79304 1 150.23 150.71 151.08 0.48291 0.36584 4 "004.txt" "left" "left" 0.31013
0.075 3.3 0 0 3.6827 1 157.59 160.92 161.29 3.3319 0.37067 4 "004.txt" "left" "left" 0.3508
0.026 0.271 0 0 0.70917 NA 167.36 167.66 168.02 0.2995 0.36489 4 "004.txt" "left" "left" 0.40967
0.051 1.69 180 180 2.0488 1 171.47 173.19 173.55 1.7157 0.36036 4 "004.txt" "right" "right" 0.3331
0.081 0.964 180 180 1.3038 1 188.2 189.18 189.55 0.98268 0.36669 4 "004.txt" "right" "right" 0.32112
0.216 1.34 0 0 1.6699 1 200.11 201.48 201.85 1.3659 0.3684 4 "004.txt" "left" "left" 0.304
0.131 0.368 0 0 0.73244 1 208.21 208.61 208.97 0.39947 0.36122 4 "004.txt" "left" "left" 0.33297
0.056 0.453 180 180 0.833 1 214.09 214.57 214.94 0.48278 0.3693 4 "004.txt" "right" "right" 0.35022
0.011 0.25 180 180 0.6303 1 220.11 220.39 220.76 0.2829 0.36768 4 "004.txt" "right" "right" 0.3474
0.088 0.71 180 180 1.0505 1 226.12 226.85 227.22 0.73269 0.3622 4 "004.txt" "right" "right" 0.31781
0.096 0.22 180 180 0.59025 1 230.69 230.94 231.3 0.24941 0.36944 4 "004.txt" "right" "right" 0.34084
0.603 0.906 0 0 1.2314 1 237.33 238.27 238.63 0.93266 0.36076 4 "004.txt" "left" "left" 0.29874
0.056 1.25 0 0 1.6049 1 242.08 243.36 243.72 1.2825 0.35932 4 "004.txt" "left" "left" 0.3224
0.039 2.93 0 0 3.2621 1 247.85 250.8 251.15 2.9487 0.35843 4 "004.txt" "left" "left" 0.3134
0.033 0.271 0 0 0.67184 NA 254.58 254.88 255.24 0.29938 0.3588 4 "004.txt" "left" "left" 0.37246
0.096 1.83 180 180 2.1981 1 265.46 267.31 267.68 1.849 0.36936 4 "004.txt" "right" "right" 0.3491
1 2.02 180 180 2.3636 1 275.87 277.92 278.28 2.0489 0.3614 4 "004.txt" "right" "right" 0.3147
1 0.484 0 0 0.82 1 284.2 284.72 285.08 0.51609 0.36484 4 "004.txt" "left" "left" 0.30391
0.285 3.3 0 0 3.6538 1 288.67 292 292.36 3.332 0.35931 4 "004.txt" "left" "left" 0.3218
0.192 2.52 180 180 2.8319 1 296.45 299 299.36 2.5488 0.36294 4 "004.txt" "right" "right" 0.2831
0.192 2.24 0 0 2.5713 1 304.2 306.44 306.81 2.2488 0.36065 4 "004.txt" "left" "left" 0.3225
0.026 0.341 0 180 0.72501 0 312.59 312.96 313.33 0.36607 0.36778 4 "004.txt" "left" "right" 0.35894
0.081 0.71 0 0 1.0467 1 322.07 322.81 323.17 0.73263 0.35987 4 "004.txt" "left" "left" 0.31407
0.026 0.759 180 180 1.1039 1 326.81 327.59 327.95 0.78269 0.36615 4 "004.txt" "right" "right" 0.32121
0.192 0.484 0 0 0.84751 1 335.1 335.62 335.98 0.51606 0.35969 4 "004.txt" "left" "left" 0.33145
1 0.293 180 180 0.62102 1 341.82 342.13 342.49 0.31619 0.35937 4 "004.txt" "right" "right" 0.30483
0.247 0.341 0 0 0.67099 1 345.9 346.27 346.63 0.36617 0.36905 4 "004.txt" "left" "left" 0.30482
0.131 2.93 180 180 3.2864 1 350.55 353.51 353.88 2.9653 0.36802 4 "004.txt" "right" "right" 0.3211
0.026 1.17 0 0 1.4837 1 358.63 359.83 360.19 1.1992 0.36308 4 "004.txt" "left" "left" 0.2845
0.019 0.423 180 0 0.75539 0 369.29 369.74 370.11 0.44947 0.36688 4 "004.txt" "right" "left" 0.30592
0.523 0.271 180 180 0.58836 1 374.91 375.21 375.57 0.29933 0.36213 4 "004.txt" "right" "right" 0.28903
0.068 0.22 0 0 0.58969 1 380.67 380.9 381.27 0.23287 0.36647 4 "004.txt" "left" "left" 0.35682
0.111 0.964 0 0 1.2721 1 385.22 386.2 386.56 0.98256 0.35975 4 "004.txt" "left" "left" 0.28954
0.192 0.964 0 0 1.2956 1 390.12 391.1 391.46 0.98254 0.36092 4 "004.txt" "left" "left" 0.31306
0.011 0.453 0 180 0.78877 0 398.93 399.41 399.78 0.4827 0.36255 4 "004.txt" "left" "right" 0.30607
1 0.551 0 0 0.78245 1 10.462 10.971 11.336 0.50938 0.36475 5 "005.txt" "left" "left" 0.27307
0.051 0.964 0 0 1.2715 1 14.852 15.835 16.194 0.98265 0.35919 5 "005.txt" "left" "left" 0.28885
0.192 0.368 0 0 0.67066 1 23.516 23.916 24.275 0.39948 0.35877 5 "005.txt" "left" "left" 0.27118
0.062 0.759 0 0 1.0454 1 30.248 31.03 31.39 0.78267 0.36023 5 "005.txt" "left" "left" 0.26273
0.837 3.3 180 180 3.6597 1 44.676 48.008 48.374 3.3319 0.36579 5 "005.txt" "right" "right" 0.3278
0.131 0.423 180 180 0.76262 1 53.573 54.023 54.383 0.44956 0.35994 5 "005.txt" "right" "right" 0.31306
0.019 0.484 0 0 0.82406 1 63.787 64.303 64.664 0.51601 0.36144 5 "005.txt" "left" "left" 0.30805
0.216 0.22 0 0 0.58751 1 68.335 68.585 68.953 0.24946 0.36848 5 "005.txt" "left" "left" 0.33805
0.76 0.854 180 180 1.1798 1 72.434 73.317 73.676 0.88257 0.35946 5 "005.txt" "right" "right" 0.29723
